;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Цех мороженого (Чернышова...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;2 420,400;1 221 596,93;670,000;749,2;2,000;1 000,00;3 088,400;1 221 346,13
Цех мороженого (Чернышова Л.Ю.);;;;;;;;;2 420,400;1 221 596,93;670,000;749,2;2,000;1 000,00;3 088,400;1 221 346,13
81;02575      ;;;Тележка гидравлическая;;;шт;15 626,98;1,000;15 626,98;;;;;1,000;15 626,98
82;42255      ;;;Тестораскатка CRAZY PAN;;;шт;35 000;1,000;35 000,00;;;;;1,000;35 000,00
83;04414      ;;;Туфли женские;;;пар;1 952,58;13,000;25 383,54;;;;;13,000;25 383,54
84;18079      ;;;Туфли мужские;;;пар;1 779,81;2,000;3 559,62;;;;;2,000;3 559,62
85;32546      ;;;Удлинитель сетевой 5-местный;;;шт;395;1,000;395,00;;;;;1,000;395,00
86;08415      ;;;Удобрение минеральное;;;шт;60,72;13,000;789,36;;;;;13,000;789,36
87;31187      ;;;Утюг "Philips";;;шт;3 660,17;1,000;3 660,17;;;;;1,000;3 660,17
88;22200      ;;;Файл А4;;;шт;1,49;100,000;149,00;;;;;100,000;149,00
89;31359      ;;;Фильтр комбинированный ДПГ-3;;;шт;508,47;89,000;45 253,83;;;;;89,000;45 253,83
90;34786      ;;;Фильтр сетевой  ;;;шт;918,85;1,000;918,85;;;;;1,000;918,85
91;01627      ;;;Халат  одноразовый;;;шт;63,33;30,000;1 899,90;;;;;30,000;1 899,90
92;33335      ;;;ХлорЭксель (ср-во дез.);;;шт;1,36;370,000;503,20;370,000;503,2;;;740,000;1 006,40
93;02696      ;;;Холодильник "Стинол";;;шт;;2,000;;;;;;2,000;
94;02998      ;;;Часы настенные;;;шт;400,9;3,000;1 202,70;;;;;3,000;1 202,70
95;30487      ;;;Шапочка белая шарлотта ;;;шт;1,49;200,000;298,00;;;;;200,000;298,00
96;02751      ;;;Шкаф металл;;;шт;500;95,000;47 500,00;;;2,000;1 000,00;93,000;46 500,00
97;31477      ;;;Шкаф пожарный;;;шт;1 585;4,000;6 340,00;;;;;4,000;6 340,00
98;43209      ;;;Шкаф пожарный ШПК-310 ВЗК с евроручкой;;;шт;1 566,67;8,000;12 533,36;;;;;8,000;12 533,36
99;43208      ;;;Шкаф пожарный ШПК-310 НЗК с евроручкой;;;шт;1 491,67;5,000;7 458,35;;;;;5,000;7 458,35
100;02725      ;;;Шпатель;;;шт;76,39;2,000;152,78;;;;;2,000;152,78
Итого;;;;;;;;;2 420,400;1 221 596,93;670,000;749,2;2,000;1 000,00;3 088,400;1 221 346,13
