;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел бухгалтерского и на...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
18;25879;;;Приемопередатчик видеосигнала (сист. видеонабл. к.);;;шт;140;10;1400;;;;;10;1400
19;32311;;;Принтер Kyocera P3050dn;;;шт;22090,28;1;22090,28;;;;;1;22090,28
20;4614;;;Сейф металлический;;;шт;;1;;;;;;1;
21;2361;;;Стойка-угол;;;шт;150;1;150;;;;;1;150
22;2363;;;Стол 1тумбовый письменный;;;шт;;5;;;;;;5;
23;2547;;;Стул с обивкой;;;шт;;4;;;;;;4;
24;2560;;;Счетчик монет;;;шт;;2;;;;;;2;
25;2628;;;Удлинитель;;;шт;390,11;1;390,11;;;;;1;390,11
26;2638;;;Ультромаг К-1;;;шт;;1;;;;;;1;
27;3378;;;Фильтр  сетевой;;;шт;416,49;1;416,49;;;;;1;416,49
28;2743;;;Шкаф для одежды;;;шт;;1;;;;;;1;
29;2756;;;Шкаф стальной;;;шт;;1;;;;;;1;
30;4397;;;Штамп;;;шт;696,14;3;2088,42;;;;;3;2088,42
31;31263;;;Штамп самонаборный;;;шт;1037,96;2;2075,92;;;;;2;2075,92
32;2805;;;Электрочайник;;;шт;1332,9;1;1332,9;;;;;1;1332,9
1;2010;;;Аппарат телефонный;;;шт;;6;;;;;;6;
2;2056;;;Вентилятор;;;шт;;3;;;;;;3;
3;3223;;;Жалюзи  ;;;м2;;2;;;;;;2;
4;2216;;;Зеркало;;;шт;1504,05;1;1504,05;;;;;1;1504,05
5;2263;;;Лампа;;;шт;;1;;;;;;1;
6;2992;;;Люстра;;;шт;527,79;4;2111,16;;;;;4;2111,16
7;2921;;;Печать;;;шт;231,26;1;231,26;;;;;1;231,26
8;2375;;;Стол офисный;;;шт;3660;1;3660;;;;;1;3660
9;2527;;;Стремянка;;;шт;2129,17;1;2129,17;;;;;1;2129,17
10;2619;;;Тумба;;;шт;1500;2;3000;;;;;2;3000
11;2628;;;Удлинитель;;;шт;390,11;3;1170,33;;;;;3;1170,33
12;2740;;;Шкаф картотечный;;;шт;;1;;;;;;1;
13;2805;;;Электрочайник;;;шт;1332,9;1;1332,9;;;;;1;1332,9
Итого;;;;;;;;;4704,93;680921,78;;;;;4704,93;680921,78
